"","cbsa","state_abb","walk","bicycle","car","suv","van","pickup_truck","golf_cart","motorcycle","RV","school_bus","public_bus","paratransit","private_bus","intercity_bus","commuter_rail","subway","taxi","rental_car","airplane","boat","other","total"
"35","Pittsburgh","PA",13.4,0.3,44.5,22.1,7.2,5.5,0,0.1,0,2.2,1.9,0.1,0.1,0,0,0.5,0.9,0,0.4,0,0.9,100
"36","Portland-Vancouver-Hillsboro","OR",13.2,2.5,39.6,20.5,9.4,7.1,0,0.3,0,0.7,2.6,0.1,0,0,0,0.9,0,1.9,0,0.4,0.9,100
"37","Providence-Warwick","RI",10.4,1.7,47.5,23.5,8.7,3.9,0,0.3,0,2.3,1.2,0,0,0,0,0,0,0,0,0,0.1,100
"38","Raleigh","NC",9,0.6,42.9,25.9,10.1,6.5,0.1,0,0,1.9,1.1,0,0,0.1,0,0,0.4,0.7,0.3,0,0.4,100
"39","Richmond","VA",6.4,0.6,46.3,20.5,12.1,6.1,0,0,0.1,1.4,0.6,0,0.1,0,0,0,1.3,3.5,0,0,1.1,100
"40","Riverside-San Bernardino-Ontario","CA",7,0.3,55.3,18.5,5.8,10.6,0,0.3,0,0.2,1.1,0.1,0.3,0,0,0,0.1,0.1,0.1,0,0.3,100
"41","Rochester","NY",8.7,0.8,45.3,23.7,8.2,5.6,0,0.1,0,5.1,1.6,0.2,0.1,0,0,0,0.1,0,0,0,0.4,100
"42","Sacramento--Roseville--Arden-Arcade","CA",10.9,1.9,48.6,19.3,6,9.5,0,0.1,0,0.7,1.1,0.1,0.1,0,0.1,0.5,0.3,0.2,0.2,0,0.4,100
"43","St. Louis","MO",8.7,0.3,41.2,25.8,12.6,7.1,0,0,0,2.7,0.5,0.3,0,0,0,0,0.5,0.2,0.2,0,0,100
"44","Salt Lake City","UT",12.4,0.3,37.3,26.1,11.2,8.7,0,0,0,0.2,0.2,0,0,0,0.3,1.1,0.1,0.3,0.2,0,1.5,100
"45","San Antonio-New Braunfels","TX",6.8,0.5,41.5,24.5,6,14.8,0,0.1,0,2.4,2.3,0.1,0.1,0,0,0,0.2,0.3,0.1,0,0.2,100
"46","San Diego-Carlsbad","CA",12.1,1.1,47.9,20.5,6.7,6.9,0,0.2,0,0.2,1.9,0,0.2,0,0.1,0.5,0.6,0.2,0.2,0,0.6,100
"47","San Francisco-Oakland-Hayward","CA",18.7,1.9,44.3,15.9,5.7,3.6,0,0.4,0,0.1,3,0,0.5,0,0.8,2.5,1.6,0.3,0.3,0.2,0.1,100
"48","San Jose-Sunnyvale-Santa Clara","CA",14.2,2.8,50.6,15.8,7.4,4.1,0,0.2,0,0.2,1.1,0,0.4,0,1.1,0.7,0.7,0.4,0.2,0,0.1,100
"49","Seattle-Tacoma-Bellevue","WA",13.1,1.3,45.5,18.8,4.6,5.7,0,0,0,3.1,3.9,0,1.2,0,0,1.1,0.7,0.3,0.5,0.2,0.1,100
"50","Tampa-St. Petersburg-Clearwater","FL",8.6,0.8,56.7,19.4,7.8,3.2,0.2,0.2,0,0.9,0.4,0.5,0,0,0,0,1.2,0,0.1,0,0.2,100
"51","Virginia Beach-Norfolk-Newport News","VA",6.7,0.3,50,19.9,10.8,5.5,0,0.1,0.1,4.6,0.7,0,0,0,0,0.3,0,0,0.5,0.1,0.4,100
"52","Washington-Arlington-Alexandria","DC",17.4,0.9,37.9,21.2,6.3,3.5,0,0.2,0,2.3,3.2,0.1,0.6,0,0.5,3.5,1.4,0.5,0.3,0,0.1,100
"53","Suppressed","in an MSA of less than 1 million",7.6,0.9,41.6,23.9,8,13.4,0.1,0.3,0.1,2,0.8,0.1,0.2,0,0,0,0.2,0.1,0.1,0,0.4,100
"54","All",NA,10.5,1,42.3,22.8,7.5,9.5,0.1,0.2,0.1,1.9,1.4,0.1,0.2,0,0.2,0.9,0.5,0.2,0.2,0,0.4,100
